Country Code,TZ Identifier,STD,DST,Time Zone Standard,Time Zone Daylight
MX,America/Merida,?06:00,?06:00,CST,
US,America/Metlakatla,?09:00,?08:00,AKST,AKDT
MX,America/Mexico_City,?06:00,?06:00,CST,
PM,America/Miquelon,?03:00,?02:00,-3,-2
CA,America/Moncton,?04:00,?03:00,AST,ADT
MX,America/Monterrey,?06:00,?06:00,CST,
UY,America/Montevideo,?03:00,?03:00,-3,
CA,America/Montreal,?05:00,?04:00,EST,EDT
MS,America/Montserrat,?04:00,?04:00,AST,
BS,America/Nassau,?05:00,?04:00,EST,EDT
US,America/New_York,?05:00,?04:00,EST,EDT
CA,America/Nipigon,?05:00,?04:00,EST,EDT
US,America/Nome,?09:00,?08:00,AKST,AKDT
BR,America/Noronha,?02:00,?02:00,-2,
US,America/North_Dakota/Beulah,?06:00,?05:00,CST,CDT
US,America/North_Dakota/Center,?06:00,?05:00,CST,CDT
US,America/North_Dakota/New_Salem,?06:00,?05:00,CST,CDT
GL,America/Nuuk,?02:00,?02:00,-2,-2
MX,America/Ojinaga,?06:00,?05:00,CST,CDT
"PA,?CA,?KY",America/Panama,?05:00,?05:00,EST,
CA,America/Pangnirtung,?05:00,?04:00,EST,EDT
SR,America/Paramaribo,?03:00,?03:00,-3,
"US,?CA",America/Phoenix,?07:00,?07:00,MST,
HT,America/Port-au-Prince,?05:00,?04:00,EST,EDT
TT,America/Port_of_Spain,?04:00,?04:00,AST,
BR,America/Porto_Acre,?05:00,?05:00,-5,
BR,America/Porto_Velho,?04:00,?04:00,-4,
"PR,?AG,?CA,?AI,?AW,?BL,?BQ,?CW,?DM,?GD,?GP,?KN,?LC,?MF,?MS,?SX,?TT,?VC,?VG,?VI",America/Puerto_Rico,?04:00,?04:00,AST,
CL,America/Punta_Arenas,?03:00,?03:00,-3,
CA,America/Rainy_River,?06:00,?05:00,CST,CDT
CA,America/Rankin_Inlet,?06:00,?05:00,CST,CDT
BR,America/Recife,?03:00,?03:00,-3,
CA,America/Regina,?06:00,?06:00,CST,
CA,America/Resolute,?06:00,?05:00,CST,CDT
BR,America/Rio_Branco,?05:00,?05:00,-5,
AR,America/Rosario,?03:00,?03:00,-3,
MX,America/Santa_Isabel,?08:00,?07:00,PST,PDT
BR,America/Santarem,?03:00,?03:00,-3,
CL,America/Santiago,?04:00,?03:00,-4,-3
DO,America/Santo_Domingo,?04:00,?04:00,AST,
BR,America/Sao_Paulo,?03:00,?03:00,-3,
GL,America/Scoresbysund,?01:00,+00:00,-1,0
US,America/Shiprock,?07:00,?06:00,MST,MDT
US,America/Sitka,?09:00,?08:00,AKST,AKDT
BL,America/St_Barthelemy,?04:00,?04:00,AST,
CA,America/St_Johns,?03:30,?02:30,NST,NDT
KN,America/St_Kitts,?04:00,?04:00,AST,
LC,America/St_Lucia,?04:00,?04:00,AST,
VI,America/St_Thomas,?04:00,?04:00,AST,
VC,America/St_Vincent,?04:00,?04:00,AST,
CA,America/Swift_Current,?06:00,?06:00,CST,
HN,America/Tegucigalpa,?06:00,?06:00,CST,
GL,America/Thule,?04:00,?03:00,AST,ADT
CA,America/Thunder_Bay,?05:00,?04:00,EST,EDT
MX,America/Tijuana,?08:00,?07:00,PST,PDT
"CA,?BS",America/Toronto,?05:00,?04:00,EST,EDT
VG,America/Tortola,?04:00,?04:00,AST,
CA,America/Vancouver,?08:00,?07:00,PST,PDT
VI,America/Virgin,?04:00,?04:00,AST,
CA,America/Whitehorse,?07:00,?07:00,MST,
CA,America/Winnipeg,?06:00,?05:00,CST,CDT
US,America/Yakutat,?09:00,?08:00,AKST,AKDT
CA,America/Yellowknife,?07:00,?06:00,MST,MDT
AQ,Antarctica/Casey,+11:00,+11:00,11,
AQ,Antarctica/Davis,+07:00,+07:00,7,
AQ,Antarctica/DumontDUrville,+10:00,+10:00,10,
AU,Antarctica/Macquarie,+10:00,+11:00,AEST,AEDT
AQ,Antarctica/Mawson,+05:00,+05:00,5,
AQ,Antarctica/McMurdo,+12:00,+13:00,NZST,NZDT
AQ,Antarctica/Palmer,?03:00,?03:00,-3,
AQ,Antarctica/Rothera,?03:00,?03:00,-3,
AQ,Antarctica/South_Pole,+12:00,+13:00,NZST,NZDT
AQ,Antarctica/Syowa,+03:00,+03:00,3,
AQ,Antarctica/Troll,+00:00,+02:00,0,2
AQ,Antarctica/Vostok,+06:00,+06:00,6,
SJ,Arctic/Longyearbyen,+01:00,+02:00,CET,CEST
YE,Asia/Aden,+03:00,+03:00,3,
KZ,Asia/Almaty,+06:00,+06:00,6,
JO,Asia/Amman,+03:00,+03:00,3,
RU,Asia/Anadyr,+12:00,+12:00,12,
KZ,Asia/Aqtau,+05:00,+05:00,5,
KZ,Asia/Aqtobe,+05:00,+05:00,5,
TM,Asia/Ashgabat,+05:00,+05:00,5,
TM,Asia/Ashkhabad,+05:00,+05:00,5,
KZ,Asia/Atyrau,+05:00,+05:00,5,
IQ,Asia/Baghdad,+03:00,+03:00,3,
BH,Asia/Bahrain,+03:00,+03:00,3,
AZ,Asia/Baku,+04:00,+04:00,4,
