Windows Time Zone Name,Standard Time Zone Name,Abbreviation,Display Name,UTC Time
"(UTC+12:00) Auckland, Wellington",New Zealand Standard Time,NZST,"NZST (New Zealand Standard Time) - Auckland, Wellington",12:00
(UTC-04:00) Santiago,Pacific SA Standard Time,PSST,PSST (Pacific SA Standard Time) - Santiago,-4:00
(UTC-08:00) Baja California,Pacific Standard Time (Mexico),PST,PST (Pacific Standard Time (Mexico)) - Baja California,-8:00
(UTC-08:00) Pacific Time (US & Canada),Pacific Standard Time,PST,PST (Pacific Standard Time) - Pacific Time (US & Canada),-8:00
"(UTC+05:00) Islamabad, Karachi",Pakistan Standard Time,PST,"PST (Pakistan Standard Time) - Islamabad, Karachi",5:00
(UTC-04:00) Asuncion,Paraguay Standard Time,PST,PST (Paraguay Standard Time) - Asuncion,-3:-30
"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",Romance Standard Time,RST,"RST (Romance Standard Time) - Brussels, Copenhagen, Madrid, Paris",1:00
"(UTC+04:00) Moscow, St. Petersburg, Volgograd",Russian Standard Time,RST,"RST (Russian Standard Time) - Moscow, St. Petersburg, Volgograd",4:00
"(UTC+07:00) Bangkok, Hanoi, Jakarta",SE Asia Standard Time,SAST,"SAST (SE Asia Standard Time) - Bangkok, Hanoi, Jakarta",7:00
"(UTC+02:00) Harare, Pretoria",South Africa Standard Time,SAST,"SAST (South Africa Standard Time) - Harare, Pretoria",2:00
"(UTC-03:00) Cayenne, Fortaleza",SA Eastern Standard Time,SEST,"SEST (SA Eastern Standard Time) - Cayenne, Fortaleza",-3:00
(UTC+05:30) Sri Jayawardenepura,Sri Lanka Standard Time,SLST,SLST (Sri Lanka Standard Time) - Sri Jayawardenepura,5:30
"(UTC-05:00) Bogota, Lima, Quito",SA Pacific Standard Time,SPST,"SPST (SA Pacific Standard Time) - Bogota, Lima, Quito",-5:00
(UTC+13:00) Samoa,Samoa Standard Time,SST,SST (Samoa Standard Time) - Samoa,13:00
(UTC+02:00) Damascus,Syria Standard Time,SST,SST (Syria Standard Time) - Damascus,2:00
"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time,SWST,"SWST (SA Western Standard Time) - Georgetown, La Paz, Manaus, San Juan",-4:00
(UTC+08:00) Taipei,Taipei Standard Time,TST,TST (Taipei Standard Time) - Taipei,8:00
(UTC+10:00) Hobart,Tasmania Standard Time,TST,TST (Tasmania Standard Time) - Hobart,10:00
"(UTC+09:00) Osaka, Sapporo, Tokyo",Tokyo Standard Time,TST,"TST (Tokyo Standard Time) - Osaka, Sapporo, Tokyo",9:00
(UTC+13:00) Nuku'alofa,Tonga Standard Time,TST,TST (Tonga Standard Time) - Nuku'alofa,13:00
(UTC+02:00) Istanbul,Turkey Standard Time,TST,TST (Turkey Standard Time) - Istanbul,2:00
(UTC+12:00) Coordinated Universal Time+12,UTC+12,U,U (UTC+12) - Coordinated Universal Time+12,12:00
(UTC-02:00) Coordinated Universal Time-02,UTC-02,U,U (UTC-02) - Coordinated Universal Time-02,-2:00
